iter	Passed	Remaining
0	166	166541
1	168	84191
2	172	57304
3	173	43270
4	176	35028
5	178	29524
6	179	25491
7	181	22456
8	182	20099
9	183	18203
10	185	16656
11	186	15366
12	187	14270
13	189	13335
14	192	12634
15	193	11918
16	195	11301
17	196	10739
18	198	10231
19	199	9779
20	200	9365
21	202	8990
22	203	8664
23	205	8367
24	207	8106
25	209	7837
26	210	7582
27	211	7349
28	213	7137
29	214	6934
30	217	6795
31	218	6614
32	220	6454
33	221	6292
34	222	6137
35	223	5991
36	224	5852
37	226	5722
38	227	5601
39	228	5488
40	229	5376
41	231	5270
42	232	5166
43	233	5065
44	234	4971
45	235	4879
46	236	4792
47	237	4708
48	238	4627
49	239	4550
50	240	4474
51	241	4402
52	242	4333
53	243	4266
54	244	4207
55	245	4145
56	246	4085
57	248	4027
58	249	3973
59	250	3922
60	251	3872
61	252	3821
62	253	3771
63	254	3723
64	255	3677
65	256	3632
66	257	3587
67	258	3541
68	259	3500
69	260	3460
70	261	3421
71	262	3382
72	263	3344
73	264	3309
74	265	3275
75	266	3241
76	267	3207
77	268	3173
78	269	3141
79	270	3110
80	271	3079
81	272	3050
82	273	3023
83	274	2994
84	275	2963
85	276	2936
86	276	2906
87	277	2880
88	279	2856
89	280	2832
90	281	2808
91	282	2784
92	283	2761
93	284	2738
94	285	2715
95	286	2693
96	287	2673
97	288	2652
98	289	2632
99	290	2611
100	291	2591
101	291	2568
102	292	2548
103	293	2529
104	294	2513
105	295	2495
106	296	2477
107	297	2459
108	298	2442
109	299	2425
110	301	2410
111	302	2394
112	302	2377
113	303	2362
114	304	2346
115	305	2329
116	306	2314
117	307	2299
118	308	2283
119	309	2270
120	310	2256
121	311	2242
122	312	2225
123	313	2212
124	314	2198
125	315	2187
126	316	2174
127	316	2159
128	317	2146
129	318	2134
130	319	2122
131	320	2110
132	321	2098
133	322	2086
134	323	2075
135	325	2064
136	326	2053
137	326	2041
138	327	2030
139	328	2019
140	329	2009
141	330	1999
142	331	1988
143	332	1978
144	333	1968
145	334	1958
146	335	1948
147	336	1938
148	337	1928
149	338	1920
150	339	1911
151	340	1902
152	342	1893
153	343	1885
154	344	1878
155	346	1873
156	348	1869
157	349	1864
158	351	1857
159	352	1849
160	353	1843
161	354	1835
162	356	1828
163	357	1821
164	358	1813
165	359	1806
166	360	1800
167	362	1794
168	363	1787
169	364	1779
170	365	1773
171	366	1766
172	368	1759
173	369	1753
174	370	1746
175	371	1741
176	373	1735
177	374	1729
178	375	1723
179	376	1716
180	377	1708
181	378	1701
182	379	1694
183	380	1688
184	381	1681
185	382	1675
186	384	1670
187	385	1665
188	386	1659
189	388	1654
190	389	1648
191	390	1643
192	391	1637
193	392	1631
