iter	Passed	Remaining
0	48	48815
1	49	24714
2	50	16680
3	50	12671
4	51	10250
5	52	8630
6	52	7470
7	53	6604
8	53	5936
9	54	5400
10	55	5026
11	60	4960
12	61	4637
13	61	4347
14	62	4095
15	62	3869
16	63	3673
17	64	3498
18	65	3380
19	69	3425
20	70	3288
21	71	3164
22	71	3051
23	72	2949
24	73	2853
25	73	2763
26	75	2710
27	79	2771
28	80	2694
29	81	2622
30	81	2554
31	82	2492
32	83	2434
33	83	2379
34	87	2411
35	89	2398
36	90	2347
37	90	2299
38	91	2255
39	92	2214
40	92	2174
41	94	2150
42	98	2198
43	99	2160
44	100	2125
45	100	2091
46	101	2059
47	102	2028
48	102	1998
49	106	2028
50	108	2027
51	109	1999
52	110	1972
53	111	1946
54	111	1921
55	112	1896
56	115	1911
57	118	1919
58	118	1897
59	119	1875
60	120	1853
61	121	1831
62	121	1810
63	122	1794
64	127	1835
65	128	1819
66	129	1799
67	129	1781
68	130	1762
69	131	1743
70	131	1726
71	136	1760
72	137	1748
73	138	1732
74	139	1715
75	139	1698
76	140	1682
77	141	1667
78	142	1661
79	154	1776
80	155	1762
81	156	1747
82	156	1727
83	157	1712
84	157	1698
85	160	1705
86	161	1692
87	163	1689
88	163	1674
89	164	1661
90	165	1649
91	165	1636
92	166	1624
93	167	1612
94	174	1665
95	177	1672
96	178	1657
97	178	1644
98	179	1632
99	179	1619
100	181	1614
101	182	1602
102	182	1591
103	183	1579
104	184	1575
105	186	1569
106	186	1559
107	187	1549
108	188	1538
109	188	1528
110	189	1519
111	194	1540
112	195	1533
113	196	1523
114	196	1513
115	197	1503
116	197	1492
117	198	1482
118	198	1473
119	203	1495
120	205	1493
121	206	1483
122	206	1473
123	207	1465
124	208	1456
125	208	1448
126	209	1439
127	211	1443
128	215	1453
129	216	1450
130	217	1441
131	219	1442
132	219	1432
133	220	1423
134	220	1415
135	221	1406
136	221	1397
137	222	1391
138	223	1384
139	224	1376
140	224	1369
141	225	1360
142	225	1353
143	226	1346
144	227	1339
145	228	1337
146	230	1338
147	231	1331
148	231	1323
149	232	1316
150	232	1308
151	233	1301
152	233	1293
153	234	1286
154	234	1278
155	235	1271
156	235	1264
157	235	1257
158	236	1251
159	237	1246
160	237	1238
161	238	1233
162	239	1230
163	240	1225
164	242	1226
165	243	1222
166	243	1217
167	244	1211
168	245	1206
169	245	1200
170	246	1195
171	247	1190
172	251	1204
173	253	1201
174	253	1196
175	256	1199
176	256	1194
177	257	1189
178	258	1185
179	261	1190
180	263	1190
181	263	1185
182	264	1179
183	264	1174
184	265	1169
185	266	1164
186	266	1159
187	267	1154
188	271	1166
189	273	1163
190	273	1159
191	274	1154
192	275	1149
193	275	1145
194	276	1140
195	277	1136
196	281	1147
197	282	1144
198	283	1139
199	283	1135
200	284	1130
201	284	1125
202	285	1121
203	286	1116
204	288	1117
205	291	1124
206	292	1120
207	293	1118
208	294	1114
209	294	1109
210	295	1105
211	296	1100
212	296	1096
213	297	1092
214	298	1090
215	302	1098
216	303	1096
217	304	1091
218	304	1087
219	305	1082
220	305	1078
221	306	1074
222	307	1070
223	308	1069
224	312	1076
225	313	1072
226	313	1068
227	314	1064
228	314	1059
229	315	1055
230	315	1051
231	316	1047
232	317	1045
233	321	1053
234	322	1050
235	323	1046
236	323	1042
237	324	1038
238	325	1035
239	325	1031
240	326	1027
241	326	1023
242	330	1030
243	332	1029
244	332	1025
245	333	1021
246	333	1017
247	334	1015
248	338	1019
249	338	1016
250	339	1012
251	339	1008
252	340	1004
253	340	1001
254	341	997
255	341	993
256	345	1000
257	347	1000
258	348	996
259	348	992
260	349	989
261	349	985
262	350	982
263	351	978
264	351	975
265	355	981
266	357	980
267	357	977
268	358	973
269	358	970
270	359	967
271	360	963
272	360	960
273	361	956
274	364	961
275	366	962
276	367	958
277	367	955
278	368	952
279	369	949
280	369	945
281	370	942
282	370	939
283	373	942
284	376	944
285	376	941
286	377	937
287	378	934
288	378	931
289	379	928
290	379	925
291	380	922
292	384	928
293	386	927
294	386	923
295	387	920
296	387	917
297	388	914
298	388	911
299	389	908
300	389	905
301	392	907
302	395	909
303	396	906
304	396	903
305	397	900
306	397	897
307	398	894
308	398	891
309	399	888
310	400	887
311	404	892
312	405	890
313	406	887
314	406	884
315	407	881
316	407	878
317	408	875
318	408	872
319	410	871
320	414	876
321	415	874
322	415	871
323	416	868
324	417	866
325	417	863
326	418	860
327	418	857
328	421	859
329	424	861
330	424	858
331	425	855
332	425	853
333	426	850
334	427	847
335	427	845
336	428	842
337	429	841
338	433	845
339	434	842
340	434	840
341	435	837
342	435	834
343	436	832
344	437	829
345	437	827
346	438	824
347	442	828
348	443	827
349	444	824
350	444	822
351	445	819
352	445	816
353	446	814
354	446	812
355	447	809
356	448	806
357	448	804
358	451	805
359	451	803
360	452	800
361	452	798
362	453	795
363	454	793
364	454	791
365	455	789
366	460	793
367	461	791
368	461	789
369	462	787
370	462	784
371	463	782
372	463	779
373	464	777
374	466	778
375	470	780
376	470	777
377	471	775
378	471	772
379	472	770
380	472	768
381	473	765
382	473	763
383	474	761
384	478	764
385	479	763
386	480	761
387	481	759
388	482	757
389	482	754
390	483	752
391	483	750
392	484	747
393	485	746
394	489	749
395	490	748
396	491	745
397	494	747
398	494	745
399	495	743
400	495	740
401	496	738
402	497	736
403	497	734
404	498	731
405	502	735
406	503	733
407	504	731
408	504	729
409	505	726
410	505	724
411	506	722
412	506	720
413	507	718
414	508	716
415	512	719
416	513	718
417	514	716
418	514	713
419	515	711
420	515	709
421	516	707
422	517	705
423	518	704
424	522	706
425	523	705
426	524	703
427	524	701
428	525	698
429	525	696
430	526	695
431	529	696
432	530	694
433	530	692
434	531	690
435	532	688
436	532	686
437	533	684
438	533	682
439	538	684
440	539	683
441	539	681
442	540	679
443	540	677
